date,text,source,url,compound,positive,neutral,negative,normalized
2021-03-06,"image captionThe buyer will receive a certificate, signed by Mr Dorsey, as well as the metadata of the original tweet
Twitter co-founder Jack Dorsey has listed his first ever tweet for sale, with bi… [+3092 chars]",BBC News,https://www.bbc.co.uk/news/world-us-canada-56307153,0.5267,0.118,0.882,0.0,1
2021-03-11,"image copyrightBeeple / Christie's
image captionA close-up of one of the artist's daily images that make up the collage
The first digital-only art auction by Christie's auction house has netted $69… [+2413 chars]",BBC News,https://www.bbc.co.uk/news/technology-56362174,0.0,0.0,1.0,0.0,0
2021-03-12,"image copyrightBBC/Beeple
A digital-only artwork has sold at Christie's auction house for an eye-watering $69m (£50m) - but the winning bidder will not receive a sculpture, painting or even a print.… [+3874 chars]",BBC News,https://www.bbc.co.uk/news/technology-56371912,0.6808,0.141,0.859,0.0,1
2021-03-14,"Cryptocurrency Bitcoin has risen for the first time above $60,000 (£43,100), continuing its record-breaking run.
Bitcoin - which has more than tripled in value since the end of last year - has been … [+1230 chars]",BBC News,https://www.bbc.co.uk/news/business-56390409,0.34,0.07,0.93,0.0,1
2021-03-15,"image copyrightGetty Images
image captionElon Musk will retain his position as chief executive
Elon Musk has dropped his chief executive job title and crowned himself ""Technoking of Tesla"".
Mr Mus… [+1220 chars]",BBC News,https://www.bbc.co.uk/news/technology-56404583,0.0,0.0,1.0,0.0,0
2021-03-16,"By Joe TidyCyber reporter 
image copyrightKhosrork/ Getty/ BBC
Sebastian will always remember the moment he lost £407,000, with equal parts anger and shame.
The night leading up to it had been oth… [+6215 chars]",BBC News,https://www.bbc.co.uk/news/technology-56402378,-0.8442,0.0,0.773,0.227,-1
2021-03-17,"image captionBitcoin's value has been very volatile
An ad for a cryptocurrency exchange has been banned for irresponsibly promoting investments in Bitcoin.
The Advertising Standards Authority (ASA)… [+2046 chars]",BBC News,https://www.bbc.co.uk/news/technology-56421901,0.296,0.187,0.723,0.09,1
2021-03-17,"image copyrightHillsborough County Sheriff's Office
image captionGraham Ivan Clark was arrested on 30 charges
A US teenager has pleaded guilty to hacking several high-profile Twitter accounts in a … [+1562 chars]",BBC News,https://www.bbc.co.uk/news/technology-56429204,-0.7906,0.0,0.758,0.242,-1
2021-03-18,"By Joshua NevettBBC News
image copyrightBlockchains
image captionJeffrey Berns, founder of Blockchains, made his fortune trading cryptocurrency
A radical experiment is being considered in the US s… [+8488 chars]",BBC News,https://www.bbc.co.uk/news/world-us-canada-56409924,0.0,0.0,1.0,0.0,0
2021-03-23,"By Joe TidyCyber reporter 
image copyrightGetty Images
Covid-19 vaccines, vaccine passports and faked negative test papers are being sold on the darknet.
Prices range between $500 (£360) and $750 … [+3326 chars]",BBC News,https://www.bbc.co.uk/news/technology-56489574,-0.5719,0.0,0.89,0.11,-1
2021-03-23,"image copyrightGetty Images
image captionTwitter chief executive Jack Dorsey
Twitter founder Jack Dorsey's first ever tweet has been sold for the equivalent of $2.9m (£2.1m) to a Malaysia-based bus… [+2172 chars]",BBC News,https://www.bbc.co.uk/news/business-56492358,0.0,0.0,1.0,0.0,0
2021-03-24,"Tesla customers can now buy their car with Bitcoin, company chief Elon Musk has said.
Mr Musk, a well known Bitcoin enthusiast, made the unexpected announcement in a tweet.
But Bitcoin's value rapi… [+986 chars]",BBC News,https://www.bbc.co.uk/news/technology-56508568,0.7184,0.189,0.811,0.0,1
2021-03-25,"By Justin HarperBusiness reporter, BBC News
image copyrightBridge Oracle
image captionMr Estavi bought Twitter founder Jack Dorsey's first ever tweet for $2.9m
The buyer of Twitter's first ever tw… [+3183 chars]",BBC News,https://www.bbc.co.uk/news/business-56506466,0.0,0.0,1.0,0.0,0
2021-03-29,"DUX Internacional de Madrid play in Segunda B, Spain's third tier
They are owned by an esports company, with a YouTuber in goal, they stream matches on Twitch and signed a player using cryptocurrenc… [+4222 chars]",BBC News,https://www.bbc.co.uk/sport/football/56047720,0.34,0.068,0.932,0.0,1
